"Pred_common","Prey_Name_Clean","Len_bin","NStomachs","Percent_Occur","Percent_Weight"
"Pacific cod","Unid","(60,80]",92,3.00163132137031,0.233073340992195
"Pacific cod","Isopoda","(60,80]",88,2.87112561174551,0.0755043600324265
"Pacific cod","Agonidae","(60,80]",45,1.46818923327896,0.119647407733449
"Pacific cod","Copepoda","(60,80]",17,0.554649265905383,0.00963173552719027
"Pacific cod","Chionoecetes bairdi","(20,40]",154,8.48952590959206,4.37761472733531
"Pacific cod","Hippolytidae","(20,40]",186,10.2535832414553,2.62231920518274
"Pacific cod","Mysidacea","(40,60]",134,2.50093318402389,0.0554266323786231
"Pacific cod","Paguridae","(80,280]",14,7.4468085106383,0.437993237768292
"Pacific cod","Offal","(80,280]",10,5.31914893617021,5.78743922965134
"Pacific cod","Stichaeidae","(20,40]",50,2.75633958103638,2.61234582192888
"Pacific cod","Atheresthes stomias","(60,80]",23,0.750407830342578,1.83217747733144
"Pacific cod","Pandalidae","(20,40]",181,9.97794928335171,5.73480978695691
"Pacific cod","Fish Eggs","(40,60]",6,0.111982082866741,0.00697290455200692
"Pacific cod","Anomura","(40,60]",481,8.9772303098171,6.11081455063834
"Pacific cod","Echinodermata","(20,40]",2,0.110253583241455,0.102590541382687
"Pacific cod","Ammodytidae","(60,80]",141,4.60032626427406,3.95528377412074
"Pacific cod","Anomura","(60,80]",182,5.93800978792822,1.8181840028779
"Pacific cod","Mollusca","(40,60]",47,0.87719298245614,0.0899950133774682
"Pacific cod","Hippoglossus stenolepis","(40,60]",3,0.0559910414333707,0.0015572120942546
"Pacific cod","Brachyura","(20,40]",386,21.2789415656009,5.67943318727359
"Pacific cod","Gammaridea","(0,20]",179,48.1182795698925,13.0866572760275
"Pacific cod","Teleostei unid","(0,20]",15,4.03225806451613,1.44944133331806
"Pacific cod","Offal","(60,80]",59,1.92495921696574,4.00361607502886
"Pacific cod","Osmeridae","(20,40]",29,1.5986769570011,3.18937148172775
"Pacific cod","Euphausiacea","(0,20]",81,21.7741935483871,11.1822661978982
"Pacific cod","Amphipoda","(40,60]",20,0.373273609555804,0.0065632417823615
"Pacific cod","Hippoglossoides elassodon","(60,80]",32,1.04404567699837,0.843786358513777
"Pacific cod","Unid Eggs","(40,60]",10,0.186636804777902,0.0107272417294864
"Pacific cod","Echinodermata","(40,60]",14,0.261291526689063,0.018523667162401
"Pacific cod","Cephalopoda","(60,80]",52,1.69657422512235,0.114602462695611
"Pacific cod","Lepidopsetta sp.","(60,80]",9,0.293637846655791,0.150004403879472
"Pacific cod","Cumacea","(60,80]",3,0.097879282218597,0.00187389706048801
"Pacific cod","Lithodidae","(60,80]",18,0.587275693311582,0.449555942610169
"Pacific cod","Caprellidae","(0,20]",14,3.76344086021505,0.695518069345671
"Pacific cod","Unid","(0,20]",3,0.806451612903226,0.122154655428438
"Pacific cod","Gadidae","(60,80]",52,1.69657422512235,1.15656027429692
"Pacific cod","Cumacea","(40,60]",44,0.82120194102277,0.227212434156247
"Pacific cod","Osmeridae","(60,80]",79,2.57748776508972,2.08111220235851
"Pacific cod","Cnidaria","(40,60]",27,0.503919372900336,0.177657910385569
"Pacific cod","Majidae","(20,40]",91,5.01653803748622,1.48610865975883
"Pacific cod","Cottidae","(20,40]",109,6.00882028665932,3.32341741397122
"Pacific cod","Bivalvia","(20,40]",62,3.41786108048512,0.269349997446603
"Pacific cod","Paguridae","(20,40]",298,16.4277839029768,10.9317847115181
"Pacific cod","Gadus chalcogrammus","(20,40]",14,0.771775082690187,1.12607476528486
"Pacific cod","Mysidacea","(0,20]",27,7.25806451612903,0.705443135099232
"Pacific cod","Cyclopteridae","(40,60]",13,0.242627846211273,0.0239874826563466
"Pacific cod","Sebastes sp.","(40,60]",19,0.354609929078014,0.361806261037208
"Pacific cod","Octopoda","(20,40]",16,0.882028665931643,0.13644291026893
"Pacific cod","Ophiurida","(60,80]",34,1.10929853181077,0.0671480461177618
"Pacific cod","Echinodermata","(60,80]",26,0.848287112561175,0.0788167506633756
"Pacific cod","Fish Eggs","(60,80]",5,0.163132137030995,0.0633480744196017
"Pacific cod","Crustacea","(60,80]",31,1.01141924959217,0.0355802032197494
"Pacific cod","Caridea","(0,20]",50,13.4408602150538,4.75964162877964
"Pacific cod","Polychaeta","(0,20]",78,20.9677419354839,4.95543263743353
"Pacific cod","Paguridae","(0,20]",42,11.2903225806452,12.6259051850834
"Pacific cod","Ammodytidae","(20,40]",71,3.91400220507166,6.44823406696511
"Pacific cod","Ammodytidae","(0,20]",5,1.34408602150538,3.4596488817123
"Pacific cod","Crangonidae","(0,20]",35,9.40860215053763,6.17491783190756
"Pacific cod","Cumacea","(0,20]",37,9.94623655913978,1.67542744586068
"Pacific cod","Amphipoda","(60,80]",2,0.065252854812398,0.000441397780878309
"Pacific cod","Decapoda","(60,80]",3,0.097879282218597,0.000486354962264063
"Pacific cod","Gastropod","(20,40]",49,2.70121278941566,0.694564096295957
"Pacific cod","Mollusca","(60,80]",25,0.815660685154975,0.0725850518357543
"Pacific cod","Crustacea","(40,60]",75,1.39977603583427,0.146242377968748
"Pacific cod","Decapoda","(20,40]",8,0.441014332965821,0.0236678696816312
"Pacific cod","Hippolytidae","(0,20]",17,4.56989247311828,2.97771059271729
"Pacific cod","Mysidacea","(20,40]",69,3.80374862183021,0.254276613830007
"Pacific cod","Decapoda","(40,60]",10,0.186636804777902,0.0203733192458302
"Pacific cod","Zoarcidae","(20,40]",21,1.15766262403528,0.823414214014432
"Pacific cod","Cyclopteridae","(60,80]",8,0.261011419249592,0.383671397640172
"Pacific cod","Agonidae","(20,40]",7,0.385887541345094,0.103048205331869
"Pacific cod","Hippolytidae","(80,280]",5,2.65957446808511,0.0144564263337422
"Pacific cod","Crangonidae","(80,280]",9,4.78723404255319,0.0375488252411677
"Pacific cod","Chionoecetes bairdi","(80,280]",16,8.51063829787234,1.92332205867243
"Pacific cod","Thecosomata","(20,40]",13,0.71664829106946,0.0398462902852027
"Pacific cod","Annelida","(20,40]",76,4.1896361631753,1.54944344498429
"Pacific cod","Unid Eggs","(20,40]",2,0.110253583241455,0.132279644666697
"Pacific cod","Ophiurida","(40,60]",40,0.746547219111609,0.122982490941164
"Pacific cod","Gadidae","(80,280]",5,2.65957446808511,2.51427700833273
"Pacific cod","Cottidae","(0,20]",5,1.34408602150538,0.714223000958151
"Pacific cod","Isopoda","(20,40]",41,2.26019845644983,0.300050390424772
"Pacific cod","Pleuronectiformes","(80,280]",17,9.04255319148936,4.12771195864148
"Pacific cod","Zoarcidae","(80,280]",2,1.06382978723404,0.114842299781637
"Pacific cod","Clupeoidei","(60,80]",25,0.815660685154975,0.888368889909622
"Pacific cod","Chionoecetes bairdi","(0,20]",4,1.0752688172043,0.74667033130633
"Pacific cod","Myctophidae","(60,80]",1,0.032626427406199,0.0053212954694774
"Pacific cod","Pleuronectiformes","(20,40]",46,2.53583241455347,1.03460102886133
"Pacific cod","Teuthida","(80,280]",4,2.12765957446809,2.01132369489482
"Pacific cod","Octopoda","(80,280]",6,3.19148936170213,0.80105719495008
"Pacific cod","Polychaeta","(80,280]",13,6.91489361702128,0.471657605819676
"Pacific cod","Pandalidae","(80,280]",14,7.4468085106383,0.471438046798571
"Walleye pollock","Mysidacea","(40,60]",554,7.89173789173789,1.16136143194404
"Walleye pollock","Caridea","(40,60]",922,13.1339031339031,3.71927445543125
"Walleye pollock","Teleostei unid","(40,60]",628,8.94586894586894,3.05408389301302
"Walleye pollock","Paguridae","(40,60]",278,3.96011396011396,0.124752322118352
"Walleye pollock","Thecosomata","(40,60]",316,4.5014245014245,0.85520044393255
"Walleye pollock","Osmeridae","(40,60]",223,3.17663817663818,6.54319562523336
"Walleye pollock","Annelida","(40,60]",12,0.170940170940171,0.0687291039773676
"Walleye pollock","Hyperiidea","(0,20]",159,8.90756302521008,1.71176241890769
"Walleye pollock","Euphausiacea","(0,20]",855,47.8991596638655,42.3068713424288
"Walleye pollock","Atheresthes stomias","(0,20]",1,0.0560224089635854,0.0165170392317798
"Walleye pollock","Copepoda","(0,20]",926,51.8767507002801,30.0895477634659
"Walleye pollock","Gammaridea","(0,20]",106,5.93837535014006,2.39967169208174
"Walleye pollock","Caridea","(0,20]",105,5.88235294117647,1.99818058460155
"Walleye pollock","Paguridae","(0,20]",41,2.296918767507,0.194901062935002
"Walleye pollock","Copepoda","(20,40]",914,37.8154737277617,9.89117154332298
"Walleye pollock","Euphausiacea","(20,40]",1511,62.5155151013653,45.8522219770637
"Walleye pollock","Hyperiidea","(20,40]",520,21.5142738932561,2.77454428123281
"Walleye pollock","Appendicularia","(20,40]",204,8.44021514273893,2.57548111077498
"Walleye pollock","Chaetognatha","(20,40]",91,3.76499793131982,0.343139558995672
"Walleye pollock","Ammodytidae","(40,60]",61,0.868945868945869,0.776504992761485
"Walleye pollock","Cumacea","(20,40]",52,2.15142738932561,0.538962036694915
"Walleye pollock","Caridea","(20,40]",237,9.80554406288788,3.98234303140959
"Walleye pollock","Polychaeta","(20,40]",40,1.65494414563508,0.29447667012889
"Walleye pollock","Copepoda","(60,80]",140,17.4129353233831,3.01091720971112
"Walleye pollock","Polychaeta","(0,20]",10,0.560224089635854,0.0693715647734753
"Walleye pollock","Chionoecetes bairdi","(40,60]",35,0.498575498575499,0.172988030793436
"Walleye pollock","Cumacea","(40,60]",155,2.20797720797721,2.41570331061464
"Walleye pollock","Mysidacea","(60,80]",82,10.1990049751244,2.22731631639451
"Walleye pollock","Mysidacea","(20,40]",130,5.37856847331403,1.31938741064724
"Walleye pollock","Pandalidae","(40,60]",967,13.7749287749288,11.7717169266321
"Walleye pollock","Amphipoda","(40,60]",57,0.811965811965812,0.0328478039486112
"Walleye pollock","Crangonidae","(40,60]",377,5.37037037037037,1.46468251342812
"Walleye pollock","Gadidae","(40,60]",28,0.398860398860399,0.197982288399941
"Walleye pollock","Thecosomata","(20,40]",77,3.18576748034754,0.217127327825066
"Walleye pollock","Gadus chalcogrammus","(40,60]",113,1.60968660968661,2.6651479849673
"Pacific cod","Osmeridae","(80,280]",3,1.59574468085106,0.153880730906757
"Walleye pollock","Hyperiidea","(60,80]",125,15.547263681592,0.233489329277649
"Walleye pollock","Pandalidae","(60,80]",170,21.1442786069652,13.441366501036
"Walleye pollock","Paguridae","(60,80]",14,1.74129353233831,0.0372684850344569
"Walleye pollock","Cyclopteridae","(60,80]",4,0.497512437810945,0.0308053757000597
"Walleye pollock","Euphausiacea","(60,80]",574,71.3930348258706,39.2333252930281
"Walleye pollock","Teleostei unid","(60,80]",85,10.5721393034826,1.91431595741314
"Walleye pollock","Cyclopteridae","(40,60]",17,0.242165242165242,0.0577180965710711
"Walleye pollock","Caridea","(60,80]",105,13.0597014925373,1.98894269288948
"Walleye pollock","Gadus macrocephalus","(60,80]",2,0.248756218905473,0.0024289463184826
"Walleye pollock","Gadus chalcogrammus","(60,80]",27,3.35820895522388,8.47352708093289
"Pacific cod","Cumacea","(20,40]",65,3.5832414553473,1.44262837008359
"Pacific cod","Teleostei unid","(80,280]",33,17.5531914893617,1.02871667882183
"Walleye pollock","Myctophidae","(40,60]",11,0.156695156695157,0.0859646119942697
"Walleye pollock","Zoarcidae","(60,80]",6,0.746268656716418,0.405359458646244
"Walleye pollock","Zoarcidae","(40,60]",25,0.356125356125356,0.232448929199014
"Walleye pollock","Myctophidae","(60,80]",4,0.497512437810945,1.00957569632304
"Walleye pollock","Hippoglossoides elassodon","(40,60]",5,0.0712250712250712,0.0278148255964086
"Walleye pollock","Hippolytidae","(40,60]",159,2.26495726495726,0.643894544888674
"Walleye pollock","Polychaeta","(40,60]",209,2.97720797720798,0.354034223073231
"Pacific cod","Euphausiacea","(80,280]",15,7.97872340425532,0.0830374603061715
"Pacific cod","Rajidae","(60,80]",5,0.163132137030995,0.190793509615234
"Pacific cod","Unid","(20,40]",27,1.48842337375965,0.215958330600943
"Pacific cod","Tunicata","(60,80]",6,0.195758564437194,0.0132698613723616
"Pacific cod","Majidae","(80,280]",4,2.12765957446809,0.140574832194529
"Walleye pollock","Chaetognatha","(40,60]",198,2.82051282051282,0.0957275107729755
"Pacific cod","Appendicularia","(20,40]",11,0.606394707828004,0.108030837036669
"Pacific cod","Appendicularia","(40,60]",14,0.261291526689063,0.0300781315448099
"Walleye pollock","Gammaridea","(60,80]",75,9.32835820895522,0.430051282069044
"Walleye pollock","Crangonidae","(60,80]",83,10.3233830845771,2.89427540566856
"Walleye pollock","Gadus macrocephalus","(40,60]",2,0.0284900284900285,0.00884672462603895
"Pacific cod","Bivalvia","(80,280]",5,2.65957446808511,0.0388186148722292
"Pacific cod","Unid Eggs","(60,80]",6,0.195758564437194,0.0129564553245497
"Pacific cod","Caprellidae","(40,60]",23,0.429264650989175,0.0306716489911938
"Walleye pollock","Gammaridea","(20,40]",195,8.06785270997104,1.38455961823698
"Walleye pollock","Pleuronectiformes","(40,60]",37,0.527065527065527,0.120488130844846
"Walleye pollock","Cottidae","(40,60]",28,0.398860398860399,0.120972323488407
"Pacific cod","Rajidae","(40,60]",3,0.0559910414333707,0.0744611440790759
"Walleye pollock","Brachyura","(0,20]",83,4.64985994397759,1.52938889495926
"Walleye pollock","Isopoda","(40,60]",20,0.284900284900285,0.0285265304459812
"Walleye pollock","Cottidae","(60,80]",11,1.3681592039801,0.430377605726615
"Walleye pollock","Brachyura","(40,60]",175,2.49287749287749,0.189261424692996
"Walleye pollock","Paguridae","(20,40]",50,2.06868018204386,0.435569375349347
"Walleye pollock","Chionoecetes bairdi","(20,40]",7,0.28961522548614,0.00577472367884425
"Walleye pollock","Crangonidae","(20,40]",67,2.77203144393877,1.40430780371894
"Walleye pollock","Brachyura","(20,40]",71,2.93752585850228,0.325993422918408
"Walleye pollock","Cephalopoda","(40,60]",38,0.541310541310541,0.0197643936914078
"Walleye pollock","Cephalopoda","(60,80]",7,0.870646766169154,0.0390954750914025
"Walleye pollock","Isopoda","(60,80]",3,0.373134328358209,0.0368883021324336
"Walleye pollock","Stichaeidae","(60,80]",7,0.870646766169154,0.288939005537756
"Walleye pollock","Stichaeidae","(40,60]",18,0.256410256410256,0.144826103241703
"Pacific cod","Caprellidae","(60,80]",4,0.130505709624796,0.00045706467742183
"Walleye pollock","Teuthida","(40,60]",124,1.76638176638177,0.490537608968509
"Walleye pollock","Crangonidae","(0,20]",16,0.896358543417367,0.721540506132905
"Walleye pollock","Gadus chalcogrammus","(0,20]",9,0.504201680672269,1.57775840907879
"Walleye pollock","Mysidacea","(0,20]",83,4.64985994397759,1.84685909440886
"Walleye pollock","Cumacea","(0,20]",44,2.46498599439776,0.813946987927317
"Walleye pollock","Osmeridae","(20,40]",63,2.60653702937526,10.1970435920948
"Pacific cod","Lithodidae","(40,60]",3,0.0559910414333707,0.0735603795554579
"Walleye pollock","Chionoecetes bairdi","(60,80]",2,0.248756218905473,0.000665320078540886
"Walleye pollock","Octopoda","(40,60]",13,0.185185185185185,0.0771645565386945
"Walleye pollock","Gadidae","(60,80]",4,0.497512437810945,0.233516786931684
"Walleye pollock","Polychaeta","(60,80]",51,6.34328358208955,0.554253867969227
"Walleye pollock","Pandalidae","(20,40]",174,7.19900703351262,8.80790299740589
"Walleye pollock","Appendicularia","(0,20]",132,7.39495798319328,2.84086722079217
"Walleye pollock","Hippolytidae","(60,80]",26,3.23383084577114,0.392205130236235
"Walleye pollock","Ammodytidae","(60,80]",9,1.11940298507463,1.01404284542182
"Walleye pollock","Bivalvia","(40,60]",53,0.754985754985755,0.0236062873086802
"Walleye pollock","Teleostei unid","(0,20]",53,2.96918767507003,2.30171294402249
"Walleye pollock","Majidae","(40,60]",22,0.313390313390313,0.0133911350999488
"Walleye pollock","Amphipoda","(20,40]",27,1.11708729830368,0.171963510657757
"Walleye pollock","Osmeridae","(60,80]",31,3.85572139303483,7.89782456090784
"Walleye pollock","Amphipoda","(0,20]",14,0.784313725490196,0.121336711279613
"Walleye pollock","Crustacea","(0,20]",83,4.64985994397759,0.928829348491742
"Walleye pollock","Chaetognatha","(0,20]",88,4.92997198879552,1.12658912975532
"Walleye pollock","Majidae","(20,40]",2,0.0827472072817542,0.000821699812009458
"Walleye pollock","Cumacea","(60,80]",19,2.36318407960199,2.20739473232848
"Walleye pollock","Teuthida","(60,80]",14,1.74129353233831,0.669956197818337
"Walleye pollock","Majidae","(0,20]",6,0.336134453781513,0.0118160357581194
"Walleye pollock","Unid","(40,60]",209,2.97720797720798,0.391967070667344
"Walleye pollock","Chaetognatha","(60,80]",9,1.11940298507463,0.0309954671510714
"Walleye pollock","Atheresthes stomias","(20,40]",3,0.124120810922631,0.0120515972428054
"Walleye pollock","Stichaeidae","(20,40]",12,0.496483243690525,0.329250549673234
"Walleye pollock","Chionoecetes bairdi","(0,20]",2,0.112044817927171,0.00203286636698829
"Walleye pollock","Gadus chalcogrammus","(20,40]",17,0.703351261894911,1.53495807382845
"Walleye pollock","Atheresthes stomias","(40,60]",8,0.113960113960114,0.1245162636205
"Walleye pollock","Crustacea","(40,60]",91,1.2962962962963,0.0848871375211874
"Walleye pollock","Appendicularia","(60,80]",137,17.0398009950249,6.3984465591447
"Walleye pollock","Unid Eggs","(40,60]",7,0.0997150997150997,0.003083082073763
"Walleye pollock","Clypeasteroida","(40,60]",1,0.0142450142450142,0.00172092566085163
"Walleye pollock","Gastropod","(40,60]",29,0.413105413105413,0.0147888767553388
"Walleye pollock","Pleuronectiformes","(60,80]",8,0.995024875621891,0.0895119521541674
"Walleye pollock","Reinhardtius hippoglossoides","(60,80]",1,0.124378109452736,0.00134120079324909
"Walleye pollock","Teleostei unid","(20,40]",158,6.53702937525859,3.01384426548516
"Walleye pollock","Hippolytidae","(20,40]",47,1.94455937112122,0.921570576660775
"Walleye pollock","Decapoda","(20,40]",12,0.496483243690525,0.0544832625351827
"Walleye pollock","Sebastes sp.","(40,60]",5,0.0712250712250712,0.0169175742931177
"Walleye pollock","Majidae","(60,80]",2,0.248756218905473,0.00058083498920236
"Walleye pollock","Bivalvia","(60,80]",6,0.746268656716418,0.0183121431141253
"Walleye pollock","Teuthida","(20,40]",24,0.992966487381051,0.173355835339218
"Walleye pollock","Annelida","(20,40]",10,0.413736036408771,0.173104760396659
"Walleye pollock","Invertebrate","(60,80]",3,0.373134328358209,0.0134648111133275
"Walleye pollock","Clupeoidei","(40,60]",6,0.0854700854700855,0.498441324668864
"Walleye pollock","Atheresthes stomias","(60,80]",4,0.497512437810945,0.247277295857696
"Walleye pollock","Sebastes sp.","(20,40]",3,0.124120810922631,0.0815080563523826
"Walleye pollock","Bivalvia","(20,40]",5,0.206868018204386,0.0131700219869294
"Walleye pollock","Bathylagidae","(40,60]",2,0.0284900284900285,0.000606699216029048
"Walleye pollock","Echinodermata","(60,80]",2,0.248756218905473,0.167291037526447
"Walleye pollock","Unid","(0,20]",34,1.9047619047619,0.550652677157952
"Arrowtooth flounder","Gadus chalcogrammus","(40,60]",936,19.4959383461779,52.1080732267203
"Arrowtooth flounder","Euphausiacea","(40,60]",1511,31.4726098729431,4.45696109421872
"Arrowtooth flounder","Gadus chalcogrammus","(60,80]",267,43.7704918032787,79.7265450718748
"Arrowtooth flounder","Pandalidae","(40,60]",507,10.560299937513,1.78081534661427
"Arrowtooth flounder","Gadidae","(40,60]",193,4.01999583420121,2.62634281157651
"Arrowtooth flounder","Euphausiacea","(20,40]",1877,41.1622807017544,9.67796017556918
"Arrowtooth flounder","Teleostei unid","(20,40]",755,16.5570175438596,8.84822203040653
"Arrowtooth flounder","Osmeridae","(40,60]",604,12.5807123515934,9.78370101517382
"Arrowtooth flounder","Osmeridae","(20,40]",564,12.3684210526316,23.2374857626071
"Arrowtooth flounder","Unid","(40,60]",62,1.29139762549469,0.0594997664599959
"Arrowtooth flounder","Euphausiacea","(0,20]",479,58.9901477832512,32.5808338873236
"Arrowtooth flounder","Pandalidae","(20,40]",639,14.0131578947368,6.49050689129935
"Arrowtooth flounder","Clupeoidei","(40,60]",188,3.91585086440325,11.2533941872775
"Arrowtooth flounder","Stichaeidae","(20,40]",90,1.97368421052632,1.35606066374378
"Arrowtooth flounder","Crangonidae","(20,40]",241,5.28508771929825,0.806192826735886
"Arrowtooth flounder","Cottidae","(40,60]",14,0.291605915434285,0.27324343326758
"Arrowtooth flounder","Crustacea","(40,60]",18,0.374921891272652,0.00247797940217445
"Arrowtooth flounder","Gadus chalcogrammus","(20,40]",312,6.8421052631579,34.3943819256194
"Arrowtooth flounder","Gadidae","(20,40]",91,1.99561403508772,2.46003706842424
"Arrowtooth flounder","Zoarcidae","(0,20]",4,0.492610837438424,0.927829220825582
"Arrowtooth flounder","Gadus macrocephalus","(20,40]",1,0.0219298245614035,0.237790370442789
"Arrowtooth flounder","Teleostei unid","(60,80]",115,18.8524590163934,1.73131707659118
"Arrowtooth flounder","Pleuronectiformes","(40,60]",76,1.58300354092897,0.876539009341367
"Arrowtooth flounder","Bivalvia","(20,40]",5,0.109649122807018,0.0058918264731287
"Arrowtooth flounder","Hippolytidae","(20,40]",36,0.789473684210526,0.121855349593174
"Arrowtooth flounder","Unid","(20,40]",21,0.460526315789474,0.0311326228151638
"Arrowtooth flounder","Stichaeidae","(40,60]",39,0.812330764424078,0.470930923981386
"Arrowtooth flounder","Euphausiacea","(60,80]",52,8.52459016393443,0.586849529825128
"Arrowtooth flounder","Teleostei unid","(40,60]",829,17.2672359925016,3.81051704238572
"Arrowtooth flounder","Teuthida","(40,60]",63,1.31222661945428,0.924991491453544
